#;Name;Algorithm;Featurization;Excluded from predictive evaluation;Excluded from uncertainty evaluation
315;P18089;Shallow;RDKit;;x
316;P18089;Shallow;CDDD;;x
317;P18089;Deep;MACCS;;x
318;P18089;Deep;MFC;;x
319;P18089;Deep;RDKit;;x
320;P18089;Deep;CDDD;;x
321;P19327;RF;MACCS;;
322;P19327;RF;MFC;;
323;P19327;RF;RDKit;;
324;P19327;RF;CDDD;x;
325;P19327;XGB;MACCS;;
326;P19327;XGB;MFC;;
327;P19327;XGB;RDKit;;
328;P19327;XGB;CDDD;;
329;P19327;SVM;MACCS;;
330;P19327;SVM;MFC;;
331;P19327;SVM;RDKit;;
332;P19327;SVM;CDDD;x;
333;P19327;Shallow;MACCS;;
334;P19327;Shallow;MFC;;
335;P19327;Shallow;RDKit;;
336;P19327;Shallow;CDDD;;
337;P19327;Deep;MACCS;;x
338;P19327;Deep;MFC;;x
339;P19327;Deep;RDKit;;
340;P19327;Deep;CDDD;;
341;P21554;RF;MACCS;;
342;P21554;RF;MFC;;
343;P21554;RF;RDKit;;
344;P21554;RF;CDDD;;
345;P21554;XGB;MACCS;;
346;P21554;XGB;MFC;;
347;P21554;XGB;RDKit;;
348;P21554;XGB;CDDD;;
349;P21554;SVM;MACCS;x;
350;P21554;SVM;MFC;;
351;P21554;SVM;RDKit;;
352;P21554;SVM;CDDD;;
353;P21554;Shallow;MACCS;;
354;P21554;Shallow;MFC;;
355;P21554;Shallow;RDKit;;
356;P21554;Shallow;CDDD;;
357;P21554;Deep;MACCS;;
358;P21554;Deep;MFC;;
359;P21554;Deep;RDKit;;
360;P21554;Deep;CDDD;;
361;P24530;RF;MACCS;;
362;P24530;RF;MFC;;
363;P24530;RF;RDKit;;
364;P24530;RF;CDDD;;
365;P24530;XGB;MACCS;;
366;P24530;XGB;MFC;;
367;P24530;XGB;RDKit;;
368;P24530;XGB;CDDD;;
369;P24530;SVM;MACCS;;
370;P24530;SVM;MFC;;
371;P24530;SVM;RDKit;;
372;P24530;SVM;CDDD;;
